idiom,lang,meaning
お茶の子さいさい,jp,
お茶を濁す,jp,
お茶を挽く,jp,
お猪口になる,jp,
落ちれば同じ谷川の水,jp,
落ちをつける,jp,
おっと合点承知之助,jp,
押っ取り刀で駆けつける,jp,
乙に絡む,jp,
乙に搦む,jp,
乙に澄ます,jp,
お釣りが来る,jp,
落つれば同じ谷川の水,jp,
お手上げ,jp,
お手の物,jp,
頤で蠅を追う,jp,
頤を解く,jp,
男が廃る,jp,
男が立つ,jp,
男心と秋の空,jp,
男になる,jp,
男猫が子を生む,jp,
男の目には糸を引け、女の目には鈴を張れ,jp,
男は敷居を跨げば七人の敵あり,jp,
男は辞儀に余れ,jp,
男は度胸、女は愛嬌,jp,
男は二十五の暁まで育つ,jp,
男は裸百貫,jp,
男は松、女は藤,jp,
男は妻から,jp,
男冥利に尽きる,jp,
男鰥に蛆が湧き、女寡に花が咲く,jp,
男を上げる,jp,
男を売る,jp,
男を下げる,jp,
男を磨く,jp,
音沙汰が無い,jp,
落とした物は拾い徳,jp,
落とし前をつける,jp,
一昨日来い,jp,
音に聞く,jp,
驚き、桃の木、山椒の木,jp,
同い年夫婦は火吹く力もない,jp,
同じ穴の貉,jp,
同じ釜の飯を食う,jp,
同じ羽の鳥は集まるものだ,jp,
お縄に掛かる,jp,
お縄になる,jp,
鬼が住むか蛇が住むか,jp,
鬼が出るか蛇が出るか,jp,
鬼が笑う,jp,
鬼瓦にも化粧,jp,
鬼に金棒,jp,
鬼に瘤を取られる,jp,
鬼に衣,jp,
鬼にもなれば仏にもなる,jp,
鬼の居ぬ間に洗濯,jp,
鬼の霍乱,jp,
鬼の首を取ったよう,jp,
鬼の念仏,jp,
鬼の目にも涙,jp,
鬼の目にも見残し,jp,
尾に鰭付ける,jp,
鬼も十八、番茶も出花,jp,
鬼も頼めば人食わず,jp,
鬼も角折る,jp,
己に克ち、礼に復る,jp,
己に如かざる者を友とするなかれ,jp,
己の頭の蠅を追え,jp,
己の欲する所を人に施せ,jp,
己の欲せざる所は人に施すこと勿れ,jp,
己の欲せざる所は人に施す勿れ,jp,
己を責めて人を責めるな,jp,
己を虚しゅうす,jp,
己を以て人を量る,jp,
斧を掲げて淵に入る,jp,
尾羽打ち枯らす,jp,
十八番,jp,
お鉢が回る,jp,
お払い箱になる,jp,
お髭の塵を払う,jp,
お百度を踏む,jp,
尾鰭が付く,jp,
尾鰭を付ける,jp,
帯に短し、襷に長し,jp,
負ぶえば抱かりょう,jp,
オブラートに包む,jp,
おべっかを使う,jp,
覚えがめでたい,jp,
思し召しより米の飯,jp,
溺れる者は藁をも摑む,jp,
お前百までわしゃ九十九まで,jp,
御神酒上がらぬ神はない,jp,
お迎えが来る,jp,
汚名を雪ぐ,jp,
お眼鏡に適う,jp,
怖めず臆せず,jp,
お目玉を食う,jp,
お目に掛かる,jp,
お目に掛ける,jp,
思い内にあれば色外に現る,jp,
思い面瘡、思われ面皰,jp,
思い立ったが吉日,jp,
思い立ったが吉日,jp,
思い半ばに過ぎる,jp,
思い半ばに過ぐ,jp,
思いも寄らない,jp,
思い邪なし,jp,
思いを致す,jp,
思いを馳せる,jp,
思いを晴らす,jp,
思いを寄せる,jp,
思うこと言わねば腹ふくる,jp,
思う事一つ叶えばまた一つ,jp,
思う壺,jp,
思う壺に嵌まる,jp,
思うに任せない,jp,
思うに別れて思わぬに添う,jp,
思う念力、岩をも徹す,jp,
思う念力、岩をも通す,jp,
思うようなら子と三人,jp,
思えば思わるる,jp,
思えば思われる,jp,
重きを置く,jp,
重きを成す,jp,
玩具にする,jp,
玩具箱を引っ繰り返したよう,jp,
表看板にする,jp,
表に立つ,jp,
面も振らず,jp,
表を繕う,jp,
重荷に小づけ,jp,
重荷を下ろす,jp,
親思う心にまさる親心,jp,
親方思いの主倒し,jp,
親方日の丸,jp,
親が親なら子も子,jp,
親が死んでも食休み,jp,
親が死んでも食休み,jp,
親苦、子楽、孫乞食,jp,
親子の仲でも金銭は他人,jp,
親子は一世,jp,
親子は一世、夫婦は二世、主従は三世,jp,
お安い御用,jp,
お安くない,jp,
親ずれより友ずれ,jp,
親と月夜はいつも良い,jp,
親に似ぬ子は鬼子,jp,
親に似ぬ子は鬼っ子,jp,
親に目なし,jp,
親の甘茶が毒となる,jp,
親の意見と茄子の花は千に一つも無駄はない,jp,
親の意見と冷や酒は後で利く,jp,
親の因果が子に報う,jp,
親の恩は子で送る,jp,
親の恩より義理の恩,jp,
親の顔が見たい,jp,
親の心、子知らず,jp,
親の十七、子は知らぬ,jp,
親の脛を齧る,jp,
親の光は七光り,jp,
親の欲目,jp,
親は親、子は子,jp,
親はなくとも子は育つ,jp,
親は木綿着る、子は錦着る,jp,
親馬鹿子馬鹿,jp,
親船に乗ったよう,jp,
親船に乗る,jp,
お山の大将,jp,
お山の大将俺一人,jp,
親を睨むと鮃になる,jp,
泳ぎ上手は川で死ぬ,jp,
及ばぬ鯉の滝登り,jp,
及び腰になる,jp,
お呼びでない,jp,
及びも付かない,jp,
折り合いが付く,jp,
折り紙付き,jp,
折り紙を付ける,jp,
折に触れて,jp,
折り目正しい,jp,
折も折,jp,
折も折とて,jp,
お留守になる,jp,
俺は言わぬがわれ言うな,jp,
愚か者に福あり,jp,
負わず借らずに子三人,jp,
終わりよければすべてよし,jp,
終わりを全うする,jp,
お椀を持たぬ乞食はない,jp,
尾を引く,jp,
尾を振る,jp,
尾を振る犬は叩かれず,jp,
音頭を取る,jp,
女氏無くして玉の輿に乗る,jp,
女心と秋の空,jp,
女賢しゅうして牛売り損なう,jp,
女三人あれば身代が潰れる,jp,
女三人寄れば姦しい,jp,
女ならでは夜は明けぬ,jp,
女の一念、岩をも徹す,jp,
女の一念、岩をも通す,jp,
女の髪の毛には大象も繋がる,jp,
女の心は猫の目,jp,
女の知恵は鼻の先,jp,
女は衣装髪かたち,jp,
女は氏無うて玉の輿に乗る,jp,
女は己を説ぶ者のために容づくる,jp,
女は三界に家なし,jp,
女冥利に尽きる,jp,
女寡に花が咲く,jp,
恩に着せる,jp,
恩に着る,jp,
御の字,jp,
恩の腹は切らねど情けの腹は切る,jp,
負んぶすれば抱っこ,jp,
おんぶに抱っこ,jp,
隠密の沙汰は高く言え,jp,
陰陽師、身の上知らず,jp,
恩を仇で返す,jp,
恩を売る,jp,
恩を以て怨みに報ず,jp,
槐安の夢,jp,
飼い犬に手を噛まれる,jp,
飼い犬に手を嚙まれる,jp,
貝殻で海を量る,jp,
会稽の恥,jp,
会稽の恥を雪ぐ,jp,
解語の花,jp,
快哉を叫ぶ,jp,
カイザルの物はカイザルに,jp,
改竄,jp,
膾炙,jp,
甲斐性が無い,jp,
甲斐性なし,jp,
会心の笑みをもらす,jp,
灰燼に帰す,jp,
海賊が山賊の罪をあげる,jp,
書いた物が物を言う,jp,
海中より盃中に溺死する者多し,jp,
快刀、乱麻を断つ,jp,
海棠の睡り未だ足らず,jp,
甲斐なき星が夜を明かす,jp,
櫂は三年、櫓は三月,jp,
隗より始めよ,jp,
回瀾を既倒に反す,jp,
廻瀾を既倒に反す,jp,
怪力乱神を語らず,jp,
回禄の災い,jp,
買うは貰うに勝る,jp,
替え着なしの晴れ着なし,jp,
カエサルの物はカエサルに,jp,
返す刀,jp,
返す言葉がない,jp,
帰らぬ人となる,jp,
帰りなんいざ,jp,
顧みて他を言う,jp,
蛙の子は蛙,jp,
蛙の面に水,jp,
蛙は口から呑まるる,jp,
蛙は口ゆえ蛇に呑まるる,jp,
顔色を窺う,jp,
顔色を見る,jp,
顔色を読む,jp,
顔から火が出る,jp,
顔が合う,jp,
顔が合わせられない,jp,
顔が売れる,jp,
顔が利く,jp,
顔が揃う,jp,
顔が立つ,jp,
顔が潰れる,jp,
顔が広い,jp,
顔で笑って心で泣く,jp,
顔に書いてある,jp,
顔に出る,jp,
顔に泥を塗る,jp,
顔に紅葉を散らす,jp,
顔ぶれが揃う,jp,
顔向けができない,jp,
顔向けがならない,jp,
顔向け出来ない,jp,
顔を合わせる,jp,
顔を売る,jp,
顔を貸す,jp,
顔を利かす,jp,
顔を曇らせる,jp,
顔を拵える,jp,
顔を顰める,jp,
顔を揃える,jp,
顔を立てる,jp,
顔を出す,jp,
顔を作る,jp,
顔を繋ぐ,jp,
顔を潰す,jp,
顔を直す,jp,
顔をほころばせる,jp,
顔を見せる,jp,
顔を汚す,jp,
嬶天下にからっ風,jp,
河海は細流を択ばず,jp,
蝸角の争い,jp,
踵で頭痛を病む,jp,
懸かるも引くも折による,jp,
屈み女に反り男,jp,
鏡は女の魂,jp,
書き入れ時,jp,
垣堅くして犬入らず,jp,
欠き餅と焼き餅は焼くほどよい,jp,
垣を作る,jp,
蝸牛、角上の争い,jp,
限りを尽くす,jp,
鍵を握る,jp,
覚悟の上,jp,
覚悟の前,jp,
鶴首,jp,
核心に触れる,jp,
核心を突く,jp,
核心を衝く,jp,
隠すより現る,jp,
隔世の感,jp,
欠くべからざる,jp,
獲麟,jp,
隠れたる信あれば顕われての利生,jp,
隠れたるより現るるはなし,jp,
隠れての信は顕われての徳,jp,
隠れての信は現れての徳,jp,
隠れ蓑にする,jp,
隠れもない,jp,
駆け馬に鞭,jp,
掛け替えのない,jp,
駆けつけ三杯,jp,
掛け値なし,jp,
影が薄い,jp,
影が差す,jp,
陰口を利く,jp,
陰口を叩く,jp,
陰で糸を引く,jp,
陰で舌を出す,jp,
陰では王様の事も言う,jp,
陰では殿の事も言う,jp,
陰に居て枝を折る,jp,
陰に託して影を求む,jp,
陰になり日向になり,jp,
陰に回る,jp,
影の形に随うが如し,jp,
陰の形に添うが如し,jp,
影の形に添うように,jp,
陰日向がある,jp,
陰日向になる,jp,
陰日向のある,jp,
陰へ回る,jp,
陰弁慶,jp,
影も形もない,jp,
影も形も見えない,jp,
陽炎、稲妻、水の月,jp,
影を畏れ迹を悪む,jp,
影を落とす,jp,
影を投じる,jp,
影を投げかける,jp,
影を潜める,jp,
華甲,jp,
嘉肴ありと雖も食らわざればその旨きを知らず,jp,
嘉肴ありと雖も食らわずんばその旨きを知らず,jp,
駕籠舁き駕籠に乗らず,jp,
籠で水を汲む,jp,
駕籠に乗る人担ぐ人、そのまた草鞋を作る人,jp,
籠の鳥、雲を慕う,jp,
傘と提灯は戻らぬつもりで貸せ,jp,
嵩に懸かる,jp,
笠に着る,jp,
笠の台が飛ぶ,jp,
風穴を開ける,jp,
風上に置けない,jp,
風上にも置けない,jp,
風向きが悪い,jp,
貸し借りは他人,jp,
貸した物は忘れぬが借りたものは忘れる,jp,
和氏の璧,jp,
和氏の璧,jp,
鹿島立ち,jp,
華燭の典,jp,
華胥の国に遊ぶ,jp,
家書万金に抵る,jp,
頭が動かねば尾が動かぬ,jp,
頭に霜を戴く,jp,
頭に霜を置く,jp,
頭を下ろす,jp,
河岸を変える,jp,
火事あとの釘拾い,jp,
火事あとの火の用心,jp,
火事と喧嘩は江戸の花,jp,
火事と喧嘩は江戸の華,jp,
火事と葬式に行けば勘当もゆりる,jp,
舵取りをする,jp,
火事場の馬鹿力,jp,
舵を取る,jp,
歌人は居ながらにして名所を知る,jp,
鎹思案,jp,
霞に千鳥,jp,
霞を食う,jp,
掠りを取る,jp,
粕を食う,jp,
糟を食う,jp,
数でこなす,jp,
数を言うまい羽織りの紐,jp,
数を頼む,jp,
数を尽くす,jp,
苛政は虎よりも猛し,jp,
河清を俟つ,jp,
稼ぐに追い付く貧乏無し,jp,
稼ぐに追い抜く貧乏神,jp,
風当たりが強い,jp,
風が吹けば桶屋が儲かる,jp,
風が吹けば桶屋が喜ぶ,jp,
風に櫛り雨に沐う,jp,
風に順いて呼ぶ,jp,
風に柳,jp,
風の便り,jp,
風の吹き回し,jp,
風の前の塵,jp,
風邪は百病のもと,jp,
風は吹けども山は動せず,jp,
風邪は万病のもと,jp,
風を切る,jp,
風を食らう,jp,
風邪を引く,jp,
数える程,jp,
片足を突っ込む,jp,
堅い木は折れる,jp,
片意地を張る,jp,
肩入れする,jp,
片腕を失う,jp,
片腕をもがれたよう,jp,
肩が軽くなる,jp,
肩が凝る,jp,
方が付く,jp,
片が付く,jp,
肩が張る,jp,
敵の家でも口を濡らせ,jp,
敵の前より借金の前,jp,
難きを先にし、獲るを後にす,jp,
火宅,jp,
片口聞いて公事を分くるな,jp,
硬くなる,jp,
堅くなる,jp,
固くなる,jp,
肩透かしを食う,jp,
肩透かしを食わせる,jp,
固唾を呑む,jp,
肩叩き,jp,
肩叩きをする,jp,
形が付く,jp,
容を繕う,jp,
片手で錐は揉まれぬ,jp,
肩で風を切る,jp,
刀折れ矢尽きる,jp,
肩に掛かる,jp,
型に嵌まる,jp,
型に嵌める,jp,
形の如く,jp,
型の如く,jp,
肩の荷が下りる,jp,
肩の荷を下ろす,jp,
片肌脱ぐ,jp,
片腹痛い,jp,
肩肘張る,jp,
片棒を担ぐ,jp,
肩身が狭い,jp,
肩身が広い,jp,
筐の水,jp,
片目が開く,jp,
片目が明く,jp,
固めの杯,jp,
片山曇れば片山日照る,jp,
語るに落ちる,jp,
語るに足る,jp,
傍ら痛い,jp,
傍らに人無きが如し,jp,
肩を怒らす,jp,
肩を怒らせる,jp,
肩を入れる,jp,
肩を落とす,jp,
肩を貸す,jp,
肩を竦める,jp,
肩を窄める,jp,
肩を聳やかす,jp,
肩を叩く,jp,
片を付ける,jp,
方を付ける,jp,
肩を並べる,jp,
肩を持つ,jp,
勝ち鬨を挙げる,jp,
勝ち名乗りを上げる,jp,
勝ちに乗じる,jp,
勝ちに乗ずる,jp,
勝ちに乗る,jp,
勝ち星を拾う,jp,
火中の栗を拾う,jp,
勝ちを拾う,jp,
かちんと来る,jp,
格好が付く,jp,
恰好が付く,jp,
渇しても盗泉の水を飲まず,jp,
癩の瘡うらみ,jp,
勝った自慢は負けての後悔,jp,
勝って兜の緒を締めよ,jp,
勝手が違う,jp,
買って出る,jp,
勝手な熱を吐く,jp,
勝手を知る,jp,
かっとなる,jp,
河童に水練,jp,
河童の川流れ,jp,
河童の寒稽古,jp,
河童の屁,jp,
餓えて死ぬは一人、飲んで死ぬは千人,jp,
渇に臨みて井を穿つ,jp,
渇に臨みて井を穿つ,jp,
勝つに乗る,jp,
勝つも負けるも時の運,jp,
桂を折る,jp,
活路を開く,jp,
活路を見出す,jp,
活路を見いだす,jp,
渇を医する,jp,
渇を癒やす,jp,
活を入れる,jp,
褐を被て玉を懐く,jp,
勝てば官軍、負ければ賊軍,jp,
瓜田に履を納れず,jp,
瓜田に履を納れず、李下に冠を正さず,jp,
角が立つ,jp,
角が取れる,jp,
角番に立つ,jp,
門松は冥土の旅の一里塚,jp,
門松は冥途の旅の一里塚,jp,
角を立てる,jp,
鼎の軽重を問う,jp,
鼎の沸くが如し,jp,
金釘流,jp,
金鎖も引けば切れる,jp,
金轡を嵌める,jp,
悲しい時は身一つ,jp,
金縛りにあう,jp,
金縛りにあったよう,jp,
金槌の川流れ,jp,
金棒引き,jp,
金棒を引く,jp,
叶わぬ時には親を出せ,jp,
叶わぬ時の神頼み,jp,
蟹の念仏,jp,
蟹の横這い,jp,
蟹は甲羅に似せて穴を掘る,jp,
蟹を縦に歩かせることはできない,jp,
金請けするとも人請けするな,jp,
金があれば馬鹿も旦那,jp,
金が言わせる旦那,jp,
金が唸る,jp,
金が敵,jp,
金が金を儲ける,jp,
金が物言う,jp,
金さえあれば飛ぶ鳥も落ちる,jp,
鉦太鼓で捜す,jp,
金で面を張る,jp,
金と塵は積もるほど汚い,jp,
金なき者は金を使う,jp,
金に飽かす,jp,
金に糸目を付けぬ,jp,
金の貸し借りは不和の基,jp,
金の貸し借り不和の基,jp,
金の切れ目が縁の切れ目,jp,
金の轡を食ます,jp,
金のなる木,jp,
金の光は阿弥陀ほど,jp,
金の光は七光,jp,
金の草鞋で捜す,jp,
金の草鞋で尋ねる,jp,
金は命の親、命の敵,jp,
金は浮き物,jp,
金は片行き,jp,
金は三欠くに溜まる,jp,
金は世界の回り物,jp,
金は天下の回り持ち,jp,
金は天下の回り物,jp,
金は良き召し使いなれど悪しき主なり,jp,
金は湧き物,jp,
金離れがいい,jp,
金回りがいい,jp,
金持ち、金使わず,jp,
金持ち喧嘩せず,jp,
金持ちと灰吹きは溜まるほど汚い,jp,
鉦や太鼓で探す,jp,
鉦や太鼓で捜す,jp,
金を貸したのが円の切れ目,jp,
金を貸せば友を失う,jp,
金を食う,jp,
金を寝かす,jp,
金を回す,jp,
蚊の食う程にも思わぬ,jp,
蚊の鳴くような声,jp,
蚊の涙,jp,
黴が生える,jp,
禍福は糾える縄の如し,jp,
株が上がる,jp,
兜を脱ぐ,jp,
冑を脱ぐ,jp,
蕪は鶉となり、山芋は鰻となる,jp,
頭を振る,jp,
株を上げる,jp,
株を守りて兎を待つ,jp,
壁訴訟,jp,
壁に突き当たる,jp,
壁にぶち当たる,jp,
壁に耳,jp,
壁に耳あり,jp,
壁に耳あり障子に目あり,jp,
壁に耳障子に目,jp,
壁の穴は壁で塞げ,jp,
壁を作る,jp,
果報は寝て待て,jp,
南瓜に目鼻,jp,
カボチャに目鼻,jp,
鎌首をもたげる,jp,
鎌首を擡げる,jp,
竈の下の灰まで,jp,
鎌をかける,jp,
鎌を掛ける,jp,
噛み合う犬は呼び難し,jp,
神掛けて,jp,
紙子着て川へ入る,jp,
紙子着て川へはまる,jp,
神様にも祝詞,jp,
神様はお見通し,jp,
裃を着た盗人,jp,
裃を着る,jp,
裃をつける,jp,
裃を脱ぐ,jp,
剃刀の刃渡り,jp,
剃刀の刃を渡る,jp,
神ならぬ身,jp,
雷が落ちる,jp,
髪の毛を逆立てる,jp,
神は正直の頭に宿る,jp,
神は非礼を受けず,jp,
神は非礼を享けず,jp,
神は自ら助くる者を助く,jp,
神は見通し,jp,
紙一重,jp,
紙一重の差,jp,
神も仏もない,jp,
髪結い髪結わず,jp,
髪結いの亭主,jp,
髪結いの乱れ髪,jp,
髪を下ろす,jp,
噛む馬はしまいまで噛む,jp,
亀の甲より年の劫,jp,
亀の甲より年の功,jp,
亀の年を鶴が羨む,jp,
仮面を被る,jp,
鴨が葱を背負って来る,jp,
可もなく不可もなし,jp,
鴨の水搔き,jp,
下問を恥じず,jp,
蚊帳の外,jp,
痒い所に手が届く,jp,
空馬に怪我なし,jp,
芥子は気短に搔かせろ,jp,
烏に反哺の孝あり,jp,
烏の頭の白くなるまで,jp,
烏の行水,jp,
烏の雌雄,jp,
烏の鳴かない日はあっても,jp,
烏の濡れ羽色,jp,
烏を鵜に使う,jp,
烏を鷺,jp,
空世辞は馬鹿を嬉しがらせる,jp,
体が空く,jp,
体が明く,jp,
体が続く,jp,
体で覚える,jp,
体に障る,jp,
体を壊す,jp,
体を張る,jp,
殻に籠る,jp,
殻に閉じ籠もる,jp,
空振りに終わる,jp,
借り着より洗い着,jp,
借りて借り得、貸して貸し損,jp,
借りてきた猫,jp,
雁の使い,jp,
狩人、罠にかかる,jp,
借りる時の地蔵顔、返す時の閻魔顔,jp,
借りる時の地蔵顔、済す時の閻魔顔,jp,
借りる八合、済す一升,jp,
借りを返す,jp,
軽い返事に重い尻,jp,
軽口を叩く,jp,
枯れ木に花,jp,
枯れ木も山の賑わい,jp,
彼も一時、此れも一時,jp,
彼も人なり、我も人なり,jp,
彼も人なり、予も人なり,jp,
彼を知り己を知れば百戦殆うからず,jp,
かわいい子には旅をさせよ,jp,
可愛さ余って憎さが百倍,jp,
可愛さ余って憎さ百倍,jp,
皮切りの一灸,jp,
渇きを覚える,jp,
川口で船を破る,jp,
川越して宿とれ,jp,
川立ちは川で果てる,jp,
川中には立てど人中には立たれず,jp,
川に水運ぶ,jp,
川の字に寝る,jp,
皮引けば身が痛い,jp,
皮引けば身が付く,jp,
川向こうの火事,jp,
変われば変わる,jp,
皮を切らせて肉を切り、肉を切らせて骨を切る,jp,
華を去り実に就く,jp,
間、髪を容れず,jp,
間一髪,jp,
棺桶に片足を突っ込む,jp,
干戈を交える,jp,
冠蓋相望む,jp,
考えは雪隠,jp,
考える葦,jp,
勧学院の雀は蒙求を囀る,jp,
汗顔の至り,jp,
勘気に触れる,jp,
感極まる,jp,
勘気を被る,jp,
間隙を生じる,jp,
間隙を縫う,jp,
閑古鳥が鳴く,jp,
癇癪持ちの事破り,jp,
韓信の股くぐり,jp,
歓心を買う,jp,
勘定合って銭足らず,jp,
勘定高い,jp,
勘定に入れる,jp,
坎井の蛙,jp,
間然する所がない,jp,
間然するところなし,jp,
肝胆相照らす,jp,
邯鄲の歩み,jp,
邯鄲の枕,jp,
邯鄲の夢,jp,
肝胆を砕く,jp,
肝胆を披く,jp,
奸知に長ける,jp,
奸智にたける,jp,
缶詰になる,jp,
干天の慈雨,jp,
嚙んで吐き出すよう,jp,
嚙んで含める,jp,
官途に就く,jp,
勘所を押さえる,jp,
艱難、汝を玉にす,jp,
寒に帷子、土用に布子,jp,
癇に障る,jp,
簡にして要を得る,jp,
感に堪えない,jp,
癇に触れる,jp,
堪忍五両、思案十両,jp,
堪忍五両、負けて三両,jp,
堪忍の忍の字が百貫する,jp,
堪忍は一生の宝,jp,
堪忍袋の緒が切れる,jp,
肝脳、地に塗る,jp,
疳の虫が起こる,jp,
汗馬の労,jp,
看板倒れ,jp,
看板に偽りあり,jp,
看板に偽りなし,jp,
看板に傷が付く,jp,
看板にする,jp,
看板を下ろす,jp,
看板を掲げる,jp,
完膚無きまで,jp,
完膚無き迄に,jp,
完璧,jp,
管鮑の交わり,jp,
冠を挂く,jp,
冠を曲げる,jp,
歓楽極まりて哀情多し,jp,
還暦,jp,
棺を蓋いて事定まる,jp,
歓を極める,jp,
款を通じる,jp,
款を通ずる,jp,
歓を尽くす,jp,
管を以て天を窺う,jp,
気合が掛かる,jp,
気合が入る,jp,
気合を入れる,jp,
気合を掛ける,jp,
聞いた事は聞き捨て,jp,
聞いた百文より見た一文,jp,
利いた風,jp,
聞いて呆れる,jp,
聞いて極楽、見て地獄,jp,
聞いてびっくり、見てびっくり,jp,
忌諱に触れる,jp,
黄色い声,jp,
気炎を上げる,jp,
気炎を揚げる,jp,
気炎を吐く,jp,
既往は咎めず,jp,
奇貨、居くべし,jp,
幾何学に王道なし,jp,
聞かぬ事は後学にならず,jp,
木から落ちた猿,jp,
亀鑑,jp,
気が合う,jp,
気が多い,jp,
気が大きい,jp,
気が置けない,jp,
気が重い,jp,
気が利きすぎて間が抜ける,jp,
気が利く,jp,
気が気でない,jp,
気が腐る,jp,
気が差す,jp,
気が沈む,jp,
気が知れない,jp,
気が進まない,jp,
気が済む,jp,
気が急く,jp,
気が立つ,jp,
気が散る,jp,
気が付く,jp,
気が詰まる,jp,
気が強い,jp,
気が咎める,jp,
気が長い,jp,
気が抜ける,jp,
気が乗らない,jp,
気が乗る,jp,
気が弾む,jp,
気が早い,jp,
気が張る,jp,
気が引ける,jp,
気が塞ぐ,jp,
気が触れる,jp,
気が紛れる,jp,
気が回る,jp,
気が短い,jp,
気が向く,jp,
気が滅入る,jp,
気が揉める,jp,
気が休まる,jp,
気が緩む,jp,
気が弱い,jp,
気が若い,jp,
聞き上手の話し下手,jp,
聞き捨てならない,jp,
忌諱に触れる,jp,
聞き耳を立てる,jp,
危急存亡の秋,jp,
帰去来,jp,
飢饉は海から,jp,
聞くと見るとは大違い,jp,
聞くは一時の恥、聞かぬは一生の恥,jp,
気位が高い,jp,
聞けば聞き腹,jp,
聞けば気の毒、見れば目の毒,jp,
機嫌を損ねる,jp,
機嫌を取る,jp,
騎虎の勢い,jp,
樹静かならんと欲すれども風止まず,jp,
木七竹八塀十郎,jp,
気色が悪い,jp,
帰心、矢の如し,jp,
生地が出る,jp,
雉も鳴かずば撃たれまい,jp,
喜寿,jp,
机上の空論,jp,
生地を出す,jp,
傷口に塩,jp,
鬼籍に入る,jp,
期せずして,jp,
機先を制する,jp,
驥足を展ばす,jp,
危殆に瀕する,jp,
汚く稼いで清く暮らせ,jp,
北に近ければ南に遠い,jp,
北枕,jp,
来る者は拒まず,jp,
機知に富む,jp,
切った張った,jp,
切っても切れない,jp,
狐、その尾を濡らす,jp,
狐と狸,jp,
狐虎の威を藉る,jp,
狐虎の威を借る,jp,
狐七化け、狸は八化け,jp,
狐につままれる,jp,
狐の子は面白,jp,
狐の嫁入り,jp,
来て見ればさほどでもなし富士の山,jp,
機転が利く,jp,
木で鼻をくくる,jp,
軌道に乗る,jp,
気に入る,jp,
気に掛かる,jp,
気に掛ける,jp,
気に食わない,jp,
気に障る,jp,
気にする,jp,
気に染まない,jp,
木に竹を接ぐ,jp,
気になる,jp,
気に病む,jp,
木に縁りて魚を求む,jp,
機に因りて法を説け,jp,
絹を裂くよう,jp,
昨日の今日,jp,
昨日の襤褸、今日の錦,jp,
昨日の友は今日の仇,jp,
昨日の友は今日の敵,jp,
昨日の淵は今日の瀬,jp,
昨日は昨日、今日は今日,jp,
昨日は今日の昔,jp,
昨日は人の身、今日は我が身,jp,
昨日は嫁、今日は姑,jp,
気の利いた化け物は引っ込む時分,jp,
気の毒は身の毒,jp,
木登りは木で果てる,jp,
木の股から生まれる,jp,
木は木、金は金,jp,
気は心,jp,
起爆剤になる,jp,
牙を研ぐ,jp,
牙を鳴らす,jp,
踵を返す,jp,
踵を接する,jp,
踵をつぐ,jp,
踵を転ずる,jp,
踵をめぐらす,jp,
驥尾に付す,jp,
機微に触れる,jp,
木仏、金仏、石仏,jp,
気骨が折れる,jp,
決まりが付く,jp,
決まりが悪い,jp,
きまりが悪い,jp,
決まりを付ける,jp,
君、君たらずと雖も臣は臣たらざるべからず,jp,
君、辱めらるれば臣死す,jp,
気味がいい,jp,
気味が悪い,jp,
気脈を通じる,jp,
君を思うも身を思う,jp,
決めてかかる,jp,
鬼面、人を嚇す,jp,
肝が大きい,jp,
肝が据わる,jp,
胆が据わる,jp,
肝が小さい,jp,
肝が太い,jp,
気持ちが傾く,jp,
気持ちを汲む,jp,
肝っ玉が据わる,jp,
肝っ玉が太い,jp,
木もと竹うら,jp,
肝に銘じる,jp,
肝を砕く,jp,
肝を消す,jp,
肝を据える,jp,
肝を潰す,jp,
肝を冷やす,jp,
鬼門,jp,
客が付く,jp,
客人一杯手八杯,jp,
客と白鷺は立ったが見事,jp,
客の朝起き,jp,
脚光を浴びる,jp,
久闊を叙する,jp,
九牛の一毛,jp,
九死に一生を得る,jp,
鳩首,jp,
急所を衝く,jp,
急所を握る,jp,
九仞の功を一簣に虧く,jp,
窮すれば通ず,jp,
窮鼠、猫を噛む,jp,
窮鳥懐に入れば猟師も殺さず,jp,
旧套を脱する,jp,
朽木は雕る可からず,jp,
窮余の一策,jp,
久離を切る,jp,
笈を負う,jp,
灸を据える,jp,
杞憂,jp,
今日あって明日ない身,jp,
胸襟を開く,jp,
兄弟は他人の始まり,jp,
胸中、成竹あり,jp,
今日できることを明日まで延ばすな,jp,
橋頭堡,jp,
京に田舎あり,jp,
興に入る,jp,
興に乗じる,jp,
興に乗る,jp,
京の着倒れ、大坂の食い倒れ,jp,
今日の襤褸、明日の錦,jp,
今日の後に今日なし,jp,
今日の一針、明日の十針,jp,
京の夢、大阪の夢,jp,
今日は人の上、明日は我が身の上,jp,
今日は人の身、明日は我が身,jp,
京へ筑紫に坂東さ,jp,
喬木は風に折らる,jp,
狂瀾を既倒に廻らす,jp,
興を添える,jp,
旭日昇天の勢い,jp,
曲水の宴,jp,
巨星墜つ,jp,
虚勢を張る,jp,
挙措を失う,jp,
曲肱の楽しみ,jp,
居は気を移す,jp,
虚を衝く,jp,
器用貧乏人宝,jp,
清水の舞台から飛び下りる,jp,
嫌いは知らぬの唐名,jp,
綺羅星の如し,jp,
錐の嚢中に処るが如し,jp,
桐一葉,jp,
切り札を出す,jp,
器量は当座の花,jp,
器量より気前,jp,
器量を下げる,jp,
切りを付ける,jp,
